"Habilitado";"UF";"Prefeitura"
"1";"Sim";"AC";"tarauaca"
"2";"Não";"AC";"mancio lima"
"3";"Não";"AC";"capixaba"
"4";"Não";"RO";"rolim de moura"
"5";"Não";"RO";"machadinho d´oeste"
"6";"Não";"PB";"camalau"
"7";"Sim";"PB";"serra branca"
"8";"Sim";"DF";"brasilia"
"9";"Não";"DF";"ra iv brazlandia"
"10";"Não";"AL";"batalha"
"11";"Não";"TO";"alvorada"
"12";"Não";"TO";"dois irmaos do tocantins - to"
"13";"Não";"TO";"santa rita do tocantins"
"14";"Não";"TO";"duere"
"15";"Não";"SC";"agronomica"
"16";"Não";"SC";"gaspar"
"17";"Não";"RN";"ceara mirim"
"18";"Não";"RJ";"mage"
"19";"Não";"RJ";"saquarema"
"20";"Não";"RJ";"cidade do rio de janeiro"
"21";"Não";"RJ";"sao pedro da aldeia"
"22";"Não";"RJ";"itaborai"
"23";"Não";"PI";"jacobina - pi"
"24";"Não";"PI";"cristino castro"
"25";"Não";"PI";"luis correia"
"26";"Não";"PA";"portel"
"27";"Não";"PA";"curralinho"
"28";"Não";"PA";"bujaru"
"29";"Não";"PA";"sao francisco do para"
"30";"Não";"PA";"santo antonio do taua"
"31";"Não";"PA";"acara"
"32";"Não";"PA";"p)refeitura municipal de aveiro"
"33";"Não";"PA";"prefeitura municpal de maraba"
"34";"Não";"PA";"tucuma"
"35";"Não";"PA";"rondon do para"
"36";"Não";"PA";"goianesia do para"
"37";"Não";"PA";"canaa dos carajas"
"38";"Não";"PA";"prefeitura muniicipal de mocajuba"
"39";"Não";"PA";"baiao"
"40";"Não";"PA";"moju"
"41";"Não";"PA";"tracuateua"
"42";"Não";"PA";"viseu - para"
"43";"Não";"PA";"jacunda - pa"
"44";"Não";"MS";"dourados"
"45";"Não";"MT";"guaranta do norte"
"46";"Não";"MT";"comodoro"
"47";"Não";"MA";"sao jose de ribamar"
"48";"Não";"MA";"penalva"
"49";"Não";"GO";"porteirao"
"50";"Não";"GO";"aragoiania"
"51";"Não";"GO";"alexania"
"52";"Não";"GO";"professor jamil"
"53";"Não";"GO";"panama-go"
"54";"Não";"GO";"caldas novas"
"55";"Não";"GO";"ceres"
"56";"Não";"GO";"anicuns"
"57";"Não";"GO";"santa terezinha de goias"
"58";"Não";"GO";"crixas"
"59";"Não";"ES";"marechal floriano"
"60";"Não";"ES";"piuma"
"61";"Não";"ES";"pinheiros"
"62";"Não";"ES";"sao jose do calcado"
"63";"Não";"ES";"jeronimo monteiro"
"64";"Não";"ES";"baixo guandu"
"65";"Sim";"DF";"paranoa - ra - vii"
"66";"Sim";"DF";"giallanza"
"67";"Não";"CE";"salitre"
"68";"Não";"CE";"aiuaba"
"69";"Não";"CE";"prefeitura muncipal de paracuru"
"70";"Não";"CE";"saboeiro"
"71";"Não";"CE";"deputado irapuan pinheiro"
"72";"Não";"CE";"aratuba"
"73";"Não";"CE";"madalena"
"74";"Não";"BA";"maracas"
"75";"Não";"BA";"iuiu-ba"
"76";"Não";"BA";"amargosa"
"77";"Não";"BA";"pintadas"
"78";"Não";"BA";"caetite"
"79";"Não";"BA";"nova fatima"
"80";"Não";"BA";" guanambi"
"81";"Não";"AL";"teotonio vilela"
"82";"Não";"AL";"murici"
"83";"Sim";"TO";"pugmil"
"84";"Sim";"TO";"araguacu"
"85";"Não";"SP";"avare"
"86";"Não";"SP";"pindamonhangaba"
"87";"Não";"SP";"pederneiras"
"88";"Não";"SP";"mirandopolis (sp)"
"89";"Não";"SP";"piacatu"
"90";"Não";"SP";"rifaina"
"91";"Não";"SP";"orlandia"
"92";"Não";"SP";"caieiras/sp"
"93";"Não";"SP";"tapiratiba"
"94";"Não";"SP";"quadra"
"95";"Não";"SP";"guariba"
"96";"Não";"SC";"sao bento do sul"
"97";"Sim";"RO";"espigao do oeste - ro"
"98";"Não";"RS";"pinheiro machado / azonasul"
"99";"Não";"RS";"sao jose do ouro"
"100";"Não";"RS";"esperanca do sul"
"101";"Não";"RS";"quarai"
"102";"Não";"RS";"cacique doble"
"103";"Não";"RS";"quatro irmaos"
"104";"Não";"RS";"presidente lucena"
"105";"Não";"RS";"barra funda"
"106";"Não";"RS";"tres arroios"
"107";"Não";"RS";"teutonia"
"108";"Não";"RS";"santo antonio do planalto"
"109";"Não";"RS";"bom principio"
"110";"Não";"RS";"eldorado do sul/rs"
"111";"Não";"RS";"agua santa"
"112";"Não";"RS";"santa vitoria do palmar"
"113";"Não";"RS";"chapada"
"114";"Não";"RS";"lagoa dos tres cantos"
"115";"Não";"RS";"sapucaia do sul"
"116";"Não";"RS";"machadinho/rs"
"117";"Não";"RS";"vila maria"
"118";"Não";"RS";"bento goncalves"
"119";"Não";"RS";"cerro largo"
"120";"Não";"RS";"santo antonio do palma"
"121";"Não";"RS";"sao miguel das missoes"
"122";"Não";"RS";"maquine"
"123";"Sim";"PB";"condado - pb"
"124";"Não";"PA";"santa isabel do para"
"125";"Não";"PA";"augusto correa"
"126";"Não";"PA";"soure"
"127";"Sim";"MG";"barao do monte alto"
"128";"Sim";"MG";"antonio prado de minas"
"129";"Sim";"MG";"eugenopolis"
"130";"Sim";"MG";"tombos"
"131";"Não";"MG";"santa cruz de salinas"
"132";"Não";"MG";"nova lima"
"133";"Não";"MG";"presidente kubitschek"
"134";"Não";"MG";"aracai"
"135";"Não";"MG";"presidente kubitschek"
"136";"Não";"MG";"pitangui"
"137";"Não";"MG";"bom repouso"
"138";"Não";"MG";"funilandia"
"139";"Não";"MG";"mamonas"
"140";"Não";"MG";"prata-mg"
"141";"Não";"MG";"coronel murta - mg"
"142";"Não";"MG";"catuti"
"143";"Não";"MG";"santana de cataguases"
"144";"Não";"MG";"formiga"
"145";"Não";"MG";"andradas - mg"
"146";"Não";"MG";"alvarenga"
"147";"Não";"MG";"bocaiuva"
"148";"Não";"MG";"sao domingos do prata/mg"
"149";"Não";"MG";"joao pinheiro"
"150";"Não";"MG";"corrego novo"
"151";"Não";"MG";"pedra azul"
"152";"Não";"MG";"sete lagoas"
"153";"Não";"MG";"sao goncalo do abaete"
"154";"Não";"MG";"campo florido"
"155";"Não";"MG";"medeiros"
"156";"Sim";"MT";"acorizal"
"157";"Sim";"MT";"novo mundo"
"158";"Não";"MA";"humberto de campos"
"159";"Sim";"GO";"agua limpa"
"160";"Não";"GO";"municipio de fazenda nova"
"161";"Sim";"GO";"senador canedo-go"
"162";"Sim";"GO";"campo limpo de goias"
"163";"Sim";"GO";"inaciolandia"
"164";"Sim";"GO";"mara rosa"
"165";"Não";"ES";"ponto belo / prefeitura municipal"
"166";"Não";"ES";"joao neiva"
"167";"Não";"ES";"brejetuba"
"168";"Não";"ES";"alfredo chaves"
"169";"Sim";"CE";"ipu"
"170";"Não";"CE";"assare"
"171";"Sim";"CE";"barbalha"
"172";"Não";"CE";"iguatu"
"173";"Não";"BA";"santo estevao"
"174";"Sim";"TO";"dianopolis"
"175";"Sim";"TO";"wanderlandia"
"176";"Sim";"TO";"tocantinopolis"
"177";"Sim";"TO";"miranorte"
"178";"Sim";"TO";"guarai"
"179";"Sim";"TO";"riachinho"
"180";"Sim";"SP";"jarinu"
"181";"Não";"SP";"sao lourenco da serra"
"182";"Sim";"SP";"taquarivai"
"183";"Sim";"SP";"igarapava"
"184";"Não";"SP";"salmourao / presidente prudente"
"185";"Não";"SP";"guapiara"
"186";"Não";"SP";"sao simao"
"187";"Não";"SP";"barueri"
"188";"Não";"SP";"catanduva"
"189";"Não";"SP";"cunha"
"190";"Sim";"SC";"saudades"
"191";"Não";"SC";"icara"
"192";"Sim";"SC";"catanduvas - sc"
"193";"Sim";"SC";"joinville"
"194";"Sim";"RR";"rorainopolis"
"195";"Não";"RS";"vera cruz"
"196";"Não";"RS";"cacapava do sul - rs"
"197";"Não";"RS";"porto maua"
"198";"Não";"RS";"palmares do sul"
"199";"Não";"RS";"unistalda"
"200";"Não";"RS";"pareci novo"
"201";"Sim";"RN";"marcelino vieira"
"202";"Não";"RJ";"santa maria madalena"
"203";"Não";"RJ";"nova iguacu"
"204";"Sim";"RJ";"santo antonio de padua"
"205";"Sim";"PI";"sebastiao leal"
"206";"Sim";"PR";"paranavai - pr"
"207";"Não";"PB";"santa luzia"
"208";"Sim";"PB";"catingueira"
"209";"Sim";"PA";"santa maria do para"
"210";"Sim";"PA";"breu branco"
"211";"Sim";"PA";"terra alta"
"212";"Sim";"MG";"patrocinio do muriae"
"213";"Não";"MG";"lagoa da prata"
"214";"Sim";"MG";"chapada gaucha/mg"
"215";"Sim";"MG";"jaboticatubas"
"216";"Sim";"MG";"santo antonio do rio abaixo"
"217";"Sim";"MG";"guarani"
"218";"Sim";"MG";"brazopolis"
"219";"Não";"MG";"rio acima"
"220";"Sim";"MS";"obadias de lana"
"221";"Não";"MS";"anaurilandia"
"222";"Sim";"MS";"fatima do sul"
"223";"Sim";"MS";"vicentina"
"224";"Sim";"MS";"sete quedas"
"225";"Sim";"MT";"nova nazare / mt"
"226";"Sim";"MT";"nova marilandia"
"227";"Sim";"MT";"pontal do araguaia"
"228";"Sim";"MT";"novo sao joaquim"
"229";"Sim";"MT";"canarana / mt"
"230";"Sim";"MT";"gaucha do norte / mt"
"231";"Sim";"MT";"indiavai"
"232";"Não";"MA";"balsas/ma"
"233";"Sim";"GO";"novo gama"
"234";"Sim";"GO";"santa helena de goias"
"235";"Sim";"GO";"cachoeira alta - go"
"236";"Sim";"GO";"porangatu"
"237";"Sim";"GO";"piracanjuba prefeitura municipal"
"238";"Sim";"GO";"aloandia"
"239";"Não";"GO";"joviania - goias"
"240";"Não";"ES";"bom jesus do norte"
"241";"Não";"DF";"varjao - ra xxiii"
"242";"Sim";"DF";"itapoa"
"243";"Não";"DF";"sudoeste / octogonal"
"244";"Sim";"CE";"campos sales"
"245";"Não";"CE";"tejucuoca"
"246";"Sim";"AM";"branquinha"
"247";"Sim";"AL";"cha preta"
"248";"Não";"AL";"campo alegre"
"249";"Sim";"AL";"maravilha"
"250";"Sim";"AL";"capela"
"251";"Sim";"AL";"taquarana"
"252";"Sim";"AL";"feliz deserto"
"253";"Sim";"AL";"junqueiro"
"254";"Não";"AL";"agua branca"
"255";"Sim";"AC";"senador guiomard"
"256";"Sim";"TO";"augustinopolis"
"257";"Sim";"TO";"caseara"
"258";"Sim";"TO";"santa rosa do tocantins"
"259";"Sim";"TO";"miracema do tocantins"
"260";"Sim";"TO";"bernardo sayao"
"261";"Sim";"SP";"da casa verde/cachoeirinha"
"262";"Sim";"SP";"promissao"
"263";"Sim";"SP";"nova odessa"
"264";"Sim";"SP";"rubiacea"
"265";"Não";"SP";"cerqueira cesar"
"266";"Sim";"SP";"pontes gestal/votuporanga"
"267";"Sim";"SP";"salto de pirapora"
"268";"Não";"SP";"itaoca/ itapeva/sp"
"269";"Não";"SP";"registro"
"270";"Sim";"SP";"pedro de toledo"
"271";"Sim";"SP";"jacupiranga"
"272";"Sim";"SP";"miracatu"
"273";"Sim";"SP";"quata"
"274";"Não";"SP";"serra azul"
"275";"Sim";"SC";"aguas frias- sc"
"276";"Não";"SC";"sao domingos (sc)"
"277";"Sim";"SC";"aguas de chapeco-sc"
"278";"Sim";"SC";"canoinhas"
"279";"Sim";"SC";"pinhalzinho"
"280";"Sim";"RR";"alto alegre"
"281";"Sim";"RR";"bonfim"
"282";"Sim";"RR";"caracarai"
"283";"Sim";"RO";"ariquemes"
"284";"Não";"RS";"tapejara"
"285";"Sim";"RS";"pinhal"
"286";"Sim";"RS";"sagrada familia - rs"
"287";"Sim";"RS";"boa vista do incra"
"288";"Sim";"RS";"guapore"
"289";"Sim";"RS";"vista gaucha"
"290";"Sim";"RN";"assu"
"291";"Sim";"RN";"luis gomes"
"292";"Sim";"RN";"serra negra do norte"
"293";"Sim";"RN";"lagoa nova"
"294";"Sim";"RN";"ipueira"
"295";"Sim";"RJ";"cabo frio"
"296";"Sim";"RJ";"araruama"
"297";"Não";"RJ";"belford roxo"
"298";"Sim";"PI";"inhuma - piaui"
"299";"Sim";"PI";"barras-pi"
"300";"Sim";"PI";"sao jose do piaui"
"301";"Sim";"PI";"caxingo/pi"
"302";"Sim";"PI";"piripiri"
"303";"Sim";"PI";"jose de freitas"
"304";"Sim";"PI";"arraial/pi"
"305";"Sim";"PI";"corrente"
"306";"Sim";"PI";"padre marcos"
"307";"Sim";"PE";"tuparetama/ pe"
"308";"Sim";"PE";"sao joao"
"309";"Sim";"PE";"jatauba"
"310";"Sim";"PE";"camocim de sao felix"
"311";"Sim";"PB";"sobrado"
"312";"Sim";"PB";"campina grande"
"313";"Sim";"PB";"joao pesoa"
"314";"Sim";"PB";"mae d`agua"
"315";"Sim";"PA";"igarape-miri"
"316";"Sim";"PA";"mae do rio"
"317";"Sim";"PA";"parauapebas"
"318";"Sim";"MG";"carangola"
"319";"Sim";"MG";"lavras/mg"
"320";"Sim";"MG";"uruana de minas"
"321";"Não";"MG";"uberlandia - mg"
"322";"Sim";"MG";"jaiba"
"323";"Sim";"MG";"ouro branco"
"324";"Sim";"MG";"ibiraci"
"325";"Sim";"MG";"grao mogol"
"326";"Sim";"MG";"arceburgo"
"327";"Sim";"MG";"barroso"
"328";"Sim";"MS";"taquarussu"
"329";"Sim";"MS";"angelica"
"330";"Sim";"MS";"japora"
"331";"Sim";"MS";"juti"
"332";"Sim";"MS";"amambai"
"333";"Sim";"MS";"coronel sapucaia"
"334";"Sim";"MS";"mundo novo"
"335";"Sim";"MT";"reserva do cabacal"
"336";"Sim";"MT";"pontes e lacerda"
"337";"Sim";"MT";"nova canaa do norte"
"338";"Sim";"MT";"barra do bugres"
"339";"Não";"MT";"sorriso"
"340";"Sim";"MA";"brejo"
"341";"Sim";"MA";"joao lisboa"
"342";"Sim";"MA";"sao francisco do maranhao"
"343";"Sim";"MA";"colinas"
"344";"Sim";"GO";"inhumas-go"
"345";"Sim";"GO";"indiara"
"346";"Sim";"GO";"arenopolis"
"347";"Sim";"GO";"chapadao do ceu"
"348";"Sim";"GO";"turvelandia"
"349";"Sim";"GO";"piranhas"
"350";"Sim";"GO";"uirapuru"
"351";"Sim";"ES";"mimoso do sul"
"352";"Sim";"ES";"ibiracu"
"353";"Sim";"ES";"alto rio novo"
"354";"Não";"DF";"sobradinho"
"355";"Sim";"CE";"camocim"
"356";"Sim";"CE";"aracati"
"357";"Não";"CE";"novo oriente - ce"
"358";"Sim";"CE";"pedra branca"
"359";"Sim";"CE";"juazeiro do norte - ceara"
"360";"Sim";"CE";"beberibe"
"361";"Sim";"CE";"itaitinga"
"362";"Sim";"BA";"itiuba"
"363";"Sim";"BA";"jequie"
"364";"Sim";"BA";"igapora"
"365";"Sim";"BA";"uaua"
"366";"Sim";"AL";"maceio"
"367";"Sim";"AL";"barra de sao miguel"
"368";"Sim";"AL";"sao jose da tapera"
"369";"Sim";"AL";"major izidoro"
"370";"Sim";"AL";"girau do ponciano"
"371";"Sim";"AL";"rio largo"
"372";"Sim";"AC";"bujari"
"373";"Sim";"TO";"combinado"
"374";"Sim";"TO";"palmas"
"375";"Sim";"TO";"pedro afonso"
"376";"Sim";"TO";"sao valerio da natividade"
"377";"Sim";"TO";"santa fe do araguaia"
"378";"Sim";"TO";"porto nacional"
"379";"Sim";"SP";"caconde"
"380";"Sim";"SP";"campinas"
"381";"Sim";"SP";"guaruja"
"382";"Sim";"SP";"americana"
"383";"Sim";"SP";"jabaquara"
"384";"Sim";"SP";"prefeitura municipal da estancia turisitica de eldorado"
"385";"Não";"SP";"presidente alves"
"386";"Sim";"SP";"santo amaro"
"387";"Sim";"SP";"pirassununga"
"388";"Sim";"SP";"candido rodrigues"
"389";"Sim";"SP";"sao paulo - cidade ademar"
"390";"Sim";"SP";"eldorado"
"391";"Sim";"SP";"santo antonio da alegria"
"392";"Não";"SP";"franco da rocha"
"393";"Sim";"SP";"alvares machado"
"394";"Sim";"SP";"sete barras"
"395";"Sim";"SP";"arandu"
"396";"Sim";"SP";"estancia balnearia de amongagua"
"397";"Sim";"SP";"sumare"
"398";"Não";"SP";"parapua"
"399";"Sim";"SP";"cubatao"
"400";"Sim";"SC";"timbo"
"401";"Sim";"SC";"seara"
"402";"Sim";"SC";"ipora do oeste"
"403";"Sim";"SC";"sombrio"
"404";"Sim";"SC";"otacilio costa"
"405";"Sim";"SC";"curitibanos"
"406";"Sim";"SC";"municipio de joacaba"
"407";"Sim";"SC";"ita"
"408";"Sim";"SC";"xaxim"
"409";"Sim";"SC";"itapoa"
"410";"Sim";"SC";"agua doce"
"411";"Sim";"SC";"balneario barra do sul"
"412";"Sim";"SC";"lindoia do sul"
"413";"Sim";"SC";"prefeitura municiopal de araquari"
"414";"Sim";"RR";"uiramuta"
"415";"Sim";"RR";"canta"
"416";"Sim";"RR";"pacaraima"
"417";"Sim";"RO";"vilhena"
"418";"Sim";"RS";"encantado"
"419";"Não";"RS";"jacutinga"
"420";"Sim";"RS";"capela de santana"
"421";"Sim";"RS";"sao pedro do butia"
"422";"Sim";"RS";"alto feliz"
"423";"Não";"RS";"miraguai"
"424";"Não";"RS";"victor graeff"
"425";"Sim";"RS";"bage"
"426";"Sim";"RS";"butia"
"427";"Sim";"RS";"garibaldi"
"428";"Não";"RS";"palmeira das missoes"
"429";"Sim";"RS";"aratiba"
"430";"Não";"RS";"vitoria das missoes"
"431";"Sim";"RS";"marau"
"432";"Sim";"RS";"santo antonio da patrulha"
"433";"Não";"RS";"julio de castilhos"
"434";"Sim";"RS";"nova prata"
"435";"Sim";"RS";"tres coroas/rs"
"436";"Sim";"RN";"parelhas"
"437";"Sim";"RN";"tenente ananias"
"438";"Sim";"RN";"currais novos/rn"
"439";"Sim";"RJ";"miracema"
"440";"Sim";"RJ";"cachoeiras de macacu"
"441";"Sim";"RJ";"macuco"
"442";"Não";"RJ";"duas barras"
"443";"Sim";"RJ";"natividade"
"444";"Sim";"RJ";"rio das flores"
"445";"Sim";"PI";"pio ix"
"446";"Sim";"PI";"nossa senhora de nazare"
"447";"Sim";"PI";"valenca do piaui"
"448";"Sim";"PI";"floriano"
"449";"Sim";"PI";"cajazeiras do piaui"
"450";"Sim";"PI";"sao joao do arraial"
"451";"Sim";"PE";"triunfo"
"452";"Sim";"PE";"cha de alegria"
"453";"Sim";"PE";"cortes"
"454";"Sim";"PE";"gameleira"
"455";"Sim";"PE";"cedro"
"456";"Sim";"PE";"joaquim nabuco"
"457";"Sim";"PE";"garanhuns"
"458";"Sim";"PE";"paranatama"
"459";"Sim";"PE";"carnaiba"
"460";"Sim";"PE";"angelim"
"461";"Sim";"PE";"barreiros"
"462";"Sim";"PE";"abreu e lima"
"463";"Sim";"PR";"foz do iguacu"
"464";"Sim";"PR";"apucarana"
"465";"Sim";"PB";"livramento"
"466";"Sim";"PB";"sao jose do brejo do cruz"
"467";"Sim";"PB";"triunfo"
"468";"Sim";"PA";"ulianopolis"
"469";"Sim";"PA";"benevides"
"470";"Sim";"PA";"xinguara/ xinguara"
"471";"Sim";"PA";"belem"
"472";"Sim";"PA";"castanhal"
"473";"Sim";"PA";"tome-acu"
"474";"Sim";"MG";"salinas"
"475";"Sim";"MG";"dom joaquim"
"476";"Sim";"MG";"senador firmino"
"477";"Sim";"MG";"novorizonte"
"478";"Sim";"MG";"pirangucu"
"479";"Sim";"MG";"montes claros"
"480";"Sim";"MG";"itamonte"
"481";"Sim";"MG";"pirapora (mg)"
"482";"Sim";"MS";"brasilandia"
"483";"Sim";"MS";"costa rica"
"484";"Sim";"MS";"itapora"
"485";"Sim";"MS";"guia lopes da laguna"
"486";"Sim";"MS";"nova andradina"
"487";"Sim";"MS";"ponta pora ms"
"488";"Não";"MT";"caceres"
"489";"Sim";"MT";"barra do garcas"
"490";"Sim";"MT";"varzea grande"
"491";"Sim";"MT";"paranatinga"
"492";"Sim";"MT";"campo novo do parecis"
"493";"Sim";"MA";"itapecuru mirim"
"494";"Sim";"MA";"nova iorque"
"495";"Sim";"MA";"anajatuba"
"496";"Sim";"MA";"sao joao dos patos"
"497";"Não";"GO";"aparecida de goiania"
"498";"Sim";"GO";"crixas"
"499";"Sim";"GO";"caiaponia"
"500";"Sim";"GO";"jatai"
"501";"Sim";"GO";"mairipotaba"
"502";"Sim";"GO";"sao simao"
"503";"Sim";"GO";"goiatuba"
"504";"Não";"ES";"conceicao barra/es"
